midi_infile,rms_random,rms_corrected_random,rms_median,rms_corrected_median,rms_preds,rms_corrected_preds
midi_files/haydn/haydn_33_2.mid,22.068716937195017,2.7840140470893107,13.121985004381498,2.6231769419393856,15.194408315326513,2.667309026890945
midi_files/haydn/haydn_33_3.mid,21.63932861802108,2.780741727000535,10.289259542334449,2.4648892061069274,13.518030409726485,2.6109134152494446
midi_files/haydn/haydn_35_1.mid,21.475004524076894,2.79828177066299,11.794508137372203,2.570069140752674,15.424779622251977,2.6870530162273565
midi_files/haydn/haydn_35_2.mid,21.86653732408162,2.792291165361003,12.295134603908558,2.5864941819207807,13.63556775986872,2.597892042060439
midi_files/haydn/haydn_35_3.mid,19.740172709595303,2.760392624584493,10.92060849598046,2.488578561310443,14.637188487605993,2.6413527189768713
midi_files/schumann/schum_abegg.mid,25.741693212566346,2.819080313720034,15.867766281527377,2.7380114000709135,21.69762422294349,2.759062623831113
midi_files/schumann/scn68_10.mid,11.620050265890342,2.606809265261758,13.750413216931468,2.765452453528585,10.808048873619395,2.5609058234077327
midi_files/schumann/scn15_10.mid,18.142140306533868,2.7498408408233272,16.07466820756165,2.600366274566866,13.368982454800017,2.5825312751474754
midi_files/schumann/scn16_8.mid,22.00923278654929,2.7763773250983697,18.60307071855187,2.680271721718183,16.816938396758157,2.6721729399920413
midi_files/schumann/scn15_11.mid,18.113298361703947,2.724296504393431,14.57655431948432,2.635625934037515,11.427608701811208,2.564410889182182
midi_files/schumann/scn15_13.mid,19.190473199047894,2.735915215702151,16.194883809505257,2.767350329846452,16.390475262325204,2.6990387412155235
midi_files/schumann/scn15_12.mid,19.76079781878208,2.763635496844743,19.158315761097903,2.7940585686460038,15.25349409563605,2.6537276671506755
midi_files/schumann/scn68_12.mid,17.692441786580872,2.7438412365687124,18.183171377272682,2.7559146053617924,14.976554003218522,2.6473965084322404
midi_files/schumann/scn15_8.mid,18.91866823814875,2.7422185992093704,14.69297108176172,2.747258784686933,12.821131889380952,2.6324592869089547
midi_files/schumann/scn15_9.mid,19.417859024554506,2.7637088563376713,14.969523793336847,2.5363779285409915,12.613062680431959,2.556226912635274
midi_files/schumann/scn15_7.mid,17.222900147004403,2.729991003134073,15.706463079132117,2.698683889758507,13.590865417883348,2.6445077146099574
midi_files/schumann/scn15_6.mid,20.938353688206096,2.7683556678014254,25.0159259617576,2.879176127369389,17.302182441570178,2.659076842660327
midi_files/schumann/scn15_4.mid,14.949688351874824,2.675647755047534,12.867153390071806,2.621588692515909,11.49456393257265,2.6259197522876714
midi_files/schumann/scn15_5.mid,18.13331290848523,2.748198062839102,17.57190518560386,2.6577629133735203,14.680977866310919,2.6407069760451147
